127.0.0.1 - - [04/Apr/2019:12:46:35 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:46:40 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6646
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:46:40 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:46:40 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:46:40 +0900] "GET /UserChat/css/MyCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:46:40 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:46:44 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:46:46 +0900] "GET /UserChat/login.jsp HTTP/1.1" 200 3627
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:46:52 +0900] "POST /UserChat/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:46:52 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:46:52 +0900] "GET /UserChat/css/custom.css?ver=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:47:00 +0900] "GET /UserChat/chat.jsp?toID=12 HTTP/1.1" 200 5933
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:47:00 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:47:03 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:47:06 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:47:07 +0900] "POST /UserChat/chatSubmitServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:47:09 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:47:09 +0900] "GET /UserChat/images/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:47:11 +0900] "GET /UserChat/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:47:12 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:12:47:15 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
