127.0.0.1 - - [13/Jul/2019:16:46:23 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:46:45 +0900] "GET /UserChat/chat.jsp?toID=11111 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:46:45 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:46:46 +0900] "GET /UserChat/css/custom.css?versionewg=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:46:48 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:46:50 +0900] "GET /UserChat/login.jsp HTTP/1.1" 200 3747
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:46:50 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:46:56 +0900] "POST /UserChat/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:46:56 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3777
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:46:57 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:01 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:05 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:06 +0900] "GET /UserChat/boardView.jsp HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:07 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:08 +0900] "GET /UserChat/boardShow.jsp?boardID=1 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:08 +0900] "GET /UserChat/upload/Yura.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:08 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:08 +0900] "POST /UserChat/boardLike HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:11 +0900] "GET /UserChat/boardView.jsp HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:11 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:12 +0900] "GET /UserChat/boardWrite.jsp HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:12 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:16 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:20 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:23 +0900] "POST /UserChat/boardWrite HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2019:16:47:23 +0900] "GET /UserChat/boardView.jsp HTTP/1.1" 200 5390
