127.0.0.1 - - [10/May/2019:20:02:16 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/May/2019:20:02:28 +0900] "GET /UserChat/chat.jsp?toID=11111 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:02:28 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [10/May/2019:20:02:30 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:20:02:34 +0900] "GET /UserChat/login.jsp HTTP/1.1" 200 3627
0:0:0:0:0:0:0:1 - - [10/May/2019:20:02:43 +0900] "POST /UserChat/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:02:43 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [10/May/2019:20:02:54 +0900] "GET /UserChat/chat.jsp?toID=11111 HTTP/1.1" 200 6605
0:0:0:0:0:0:0:1 - - [10/May/2019:20:02:58 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:00 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:03 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:06 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:09 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:12 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:15 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:18 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:21 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:24 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:27 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:30 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:33 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:36 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:39 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:42 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:45 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:48 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:51 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:54 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:03:57 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:04:00 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:04:03 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:04:06 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:04:09 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/May/2019:20:04:12 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
