127.0.0.1 - - [22/May/2019:14:35:24 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/May/2019:14:35:40 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2339
0:0:0:0:0:0:0:1 - - [22/May/2019:14:35:41 +0900] "GET /UserChat/css/custom2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:14:35:41 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:14:35:41 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/May/2019:14:35:44 +0900] "GET /UserChat/login.jsp HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [22/May/2019:14:35:51 +0900] "POST /UserChat/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2019:14:35:51 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3407
0:0:0:0:0:0:0:1 - - [22/May/2019:14:35:51 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [22/May/2019:14:35:55 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [22/May/2019:14:35:56 +0900] "GET /UserChat/box.jsp HTTP/1.1" 200 4383
0:0:0:0:0:0:0:1 - - [22/May/2019:14:35:56 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [22/May/2019:14:35:57 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [22/May/2019:14:36:00 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [22/May/2019:14:36:01 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [22/May/2019:14:36:03 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 226
