127.0.0.1 - - [15/Jul/2019:15:58:52 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:28 +0900] "GET /UserChat/chat.jsp?toID=11111 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:31 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 8781
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:31 +0900] "GET /UserChat/css/custom.css?versionewg=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:31 +0900] "GET /UserChat/images/star.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:31 +0900] "GET /UserChat/images/balloon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:32 +0900] "GET /UserChat/images/c.png HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:32 +0900] "GET /UserChat/images/java.png HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:32 +0900] "GET /UserChat/images/android.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:33 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:38 +0900] "GET /UserChat/login.jsp HTTP/1.1" 200 3747
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:38 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:43 +0900] "POST /UserChat/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:43 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 9343
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:43 +0900] "GET /UserChat/images/c.png HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:43 +0900] "GET /UserChat/upload/nancy1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:44 +0900] "GET /UserChat/images/java.png HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:44 +0900] "GET /UserChat/images/android.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:44 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:48 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:52 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:09:56 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:00 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:02 +0900] "GET /UserChat/find.jsp HTTP/1.1" 200 5269
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:02 +0900] "GET /UserChat/css/custom.css?ver=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:02 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:03 +0900] "GET /UserChat/box.jsp HTTP/1.1" 200 5181
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:03 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:03 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:04 +0900] "GET /UserChat/boardView.jsp HTTP/1.1" 200 5768
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:04 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:05 +0900] "GET /UserChat/box.jsp HTTP/1.1" 200 5181
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:05 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:05 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:05 +0900] "GET /UserChat/boardView.jsp HTTP/1.1" 200 5768
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:06 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:09 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 8495
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:09 +0900] "GET /UserChat/images/c.png HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:09 +0900] "GET /UserChat/images/java.png HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:09 +0900] "GET /UserChat/images/android.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:09 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:13 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:15 +0900] "GET /UserChat/userStatus.jsp HTTP/1.1" 200 3531
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:16 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:18 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:22 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:27 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:31 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:35 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:39 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:43 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:47 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:51 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:55 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:10:59 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:11:03 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:11:07 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:11:11 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:11:15 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:11:19 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:11:23 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:11:27 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:11:31 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:11:35 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [15/Jul/2019:16:11:39 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
