127.0.0.1 - - [09/May/2019:09:59:17 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/May/2019:09:59:42 +0900] "GET /UserChat/chat.jsp?toID=11111 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2019:09:59:42 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [09/May/2019:09:59:43 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [09/May/2019:10:00:15 +0900] "GET /UserChat/login.jsp HTTP/1.1" 200 3627
0:0:0:0:0:0:0:1 - - [09/May/2019:10:00:19 +0900] "POST /UserChat/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2019:10:00:19 +0900] "GET /UserChat/login.jsp HTTP/1.1" 200 4539
0:0:0:0:0:0:0:1 - - [09/May/2019:10:00:41 +0900] "POST /UserChat/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2019:10:00:41 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [09/May/2019:10:00:47 +0900] "GET /UserChat/chat.jsp?toID=11111 HTTP/1.1" 200 6482
0:0:0:0:0:0:0:1 - - [09/May/2019:10:00:51 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:10:00:54 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:10:00:57 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:10:01:00 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:10:01:03 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:10:01:06 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:10:01:09 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:13:12:44 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:13:12:57 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:13:12:57 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:13:12:57 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:13:13:00 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:13:13:00 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:13:13:03 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:13:13:06 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:13:13:10 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:13:13:20 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:13:13:22 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/May/2019:13:13:24 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 154
