127.0.0.1 - - [16/Jul/2019:18:09:48 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Jul/2019:18:10:07 +0900] "GET /UserChat/chat.jsp?toID=11111 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2019:18:10:09 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 8782
0:0:0:0:0:0:0:1 - - [16/Jul/2019:18:10:09 +0900] "GET /UserChat/css/custom.css?versionewg=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2019:18:10:09 +0900] "GET /UserChat/css/custom2.css?versiontff=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2019:18:10:09 +0900] "GET /UserChat/images/star.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2019:18:10:09 +0900] "GET /UserChat/images/balloon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2019:18:10:09 +0900] "GET /UserChat/images/java.png HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [16/Jul/2019:18:10:09 +0900] "GET /UserChat/images/c.png HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [16/Jul/2019:18:10:09 +0900] "GET /UserChat/images/android.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [16/Jul/2019:18:10:10 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
61.99.139.70 - - [16/Jul/2019:18:11:03 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 7899
61.99.139.70 - - [16/Jul/2019:18:11:03 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 200 146010
61.99.139.70 - - [16/Jul/2019:18:11:03 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 200 69707
61.99.139.70 - - [16/Jul/2019:18:11:03 +0900] "GET /UserChat/images/balloon.png HTTP/1.1" 200 73547
61.99.139.70 - - [16/Jul/2019:18:11:03 +0900] "GET /UserChat/images/star.png HTTP/1.1" 200 431631
61.99.139.70 - - [16/Jul/2019:18:11:03 +0900] "GET /UserChat/css/custom2.css?versiontff=2 HTTP/1.1" 200 2735
61.99.139.70 - - [16/Jul/2019:18:11:03 +0900] "GET /UserChat/css/custom.css?versionewg=2 HTTP/1.1" 200 4014
61.99.139.70 - - [16/Jul/2019:18:11:03 +0900] "GET /UserChat/images/c.png HTTP/1.1" 404 1103
61.99.139.70 - - [16/Jul/2019:18:11:03 +0900] "GET /UserChat/images/java.png HTTP/1.1" 404 1106
61.99.139.70 - - [16/Jul/2019:18:11:04 +0900] "GET /UserChat/images/android.png HTTP/1.1" 404 1109
61.99.139.70 - - [16/Jul/2019:18:11:04 +0900] "GET /UserChat/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
61.99.139.70 - - [16/Jul/2019:18:11:04 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
61.99.139.70 - - [16/Jul/2019:18:12:05 +0900] "GET /UserChat/css/bootstrap.css.map HTTP/1.1" 200 389287
61.99.139.70 - - [16/Jul/2019:18:12:24 +0900] "GET /UserChat/boardShow.jsp?boardID=7 HTTP/1.1" 200 4842
0:0:0:0:0:0:0:1 - - [16/Jul/2019:18:12:25 +0900] "GET /UserChat/upload/nancy1.jpg HTTP/1.1" 304 -
61.99.139.70 - - [16/Jul/2019:18:12:31 +0900] "GET /UserChat/boardView.jsp HTTP/1.1" 200 5202
61.99.139.70 - - [16/Jul/2019:18:12:35 +0900] "GET /UserChat/login.jsp HTTP/1.1" 200 3747
61.99.139.70 - - [16/Jul/2019:18:12:35 +0900] "GET /UserChat/css/custom2.css HTTP/1.1" 200 2735
61.99.139.70 - - [16/Jul/2019:18:12:35 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 200 4014
61.99.139.70 - - [16/Jul/2019:18:12:43 +0900] "POST /UserChat/userLogin HTTP/1.1" 302 -
61.99.139.70 - - [16/Jul/2019:18:12:43 +0900] "GET /UserChat/login.jsp HTTP/1.1" 200 4662
61.99.139.70 - - [16/Jul/2019:18:12:48 +0900] "POST /UserChat/userLogin HTTP/1.1" 302 -
61.99.139.70 - - [16/Jul/2019:18:12:48 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 9342
0:0:0:0:0:0:0:1 - - [16/Jul/2019:18:12:48 +0900] "GET /UserChat/upload/jooe2.png HTTP/1.1" 304 -
61.99.139.70 - - [16/Jul/2019:18:12:49 +0900] "GET /UserChat/images/c.png HTTP/1.1" 404 1103
61.99.139.70 - - [16/Jul/2019:18:12:49 +0900] "GET /UserChat/images/java.png HTTP/1.1" 404 1106
61.99.139.70 - - [16/Jul/2019:18:12:49 +0900] "GET /UserChat/images/android.png HTTP/1.1" 404 1109
61.99.139.70 - - [16/Jul/2019:18:12:49 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
61.99.139.70 - - [16/Jul/2019:18:12:51 +0900] "GET /UserChat/boardShow.jsp?boardID=7 HTTP/1.1" 200 6113
61.99.139.70 - - [16/Jul/2019:18:12:52 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
61.99.139.70 - - [16/Jul/2019:18:12:52 +0900] "POST /UserChat/boardLike HTTP/1.1" 200 1
61.99.139.70 - - [16/Jul/2019:18:12:55 +0900] "POST /UserChat/boardCommentWrite?boardID=7 HTTP/1.1" 302 -
61.99.139.70 - - [16/Jul/2019:18:12:55 +0900] "GET /UserChat/boardShow.jsp?boardID=7 HTTP/1.1" 200 7422
61.99.139.70 - - [16/Jul/2019:18:12:56 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
61.99.139.70 - - [16/Jul/2019:18:12:56 +0900] "POST /UserChat/boardLike HTTP/1.1" 200 1
61.99.139.70 - - [16/Jul/2019:18:13:00 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
61.99.139.70 - - [16/Jul/2019:18:13:00 +0900] "POST /UserChat/boardLike HTTP/1.1" 200 1
61.99.139.70 - - [16/Jul/2019:18:13:00 +0900] "GET /UserChat/boardView.jsp HTTP/1.1" 200 5777
61.99.139.70 - - [16/Jul/2019:18:13:00 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
61.99.139.70 - - [16/Jul/2019:18:13:03 +0900] "GET /UserChat/boardWrite.jsp HTTP/1.1" 200 5288
61.99.139.70 - - [16/Jul/2019:18:13:03 +0900] "GET /UserChat/boardWrite.jsp HTTP/1.1" 200 5288
61.99.139.70 - - [16/Jul/2019:18:13:04 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
61.99.139.70 - - [16/Jul/2019:18:13:06 +0900] "POST /UserChat/boardWrite HTTP/1.1" 302 -
61.99.139.70 - - [16/Jul/2019:18:13:06 +0900] "GET /UserChat/boardView.jsp HTTP/1.1" 200 6833
61.99.139.70 - - [16/Jul/2019:18:13:08 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
61.99.139.70 - - [16/Jul/2019:18:13:10 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 8492
61.99.139.70 - - [16/Jul/2019:18:13:10 +0900] "GET /UserChat/images/c.png HTTP/1.1" 404 1103
