127.0.0.1 - - [29/Mar/2019:17:20:12 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:21:06 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6320
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:21:06 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:21:06 +0900] "GET /UserChat/css/MyCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:21:06 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:21:06 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:21:11 +0900] "POST /UserChat/UserRegisterCheckServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:21:27 +0900] "POST /UserChat/userRegister HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:21:27 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:21:39 +0900] "POST /UserChat/userRegister HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:21:39 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 7206
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:21:50 +0900] "POST /UserChat/userRegister HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:21:50 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 7206
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:23:25 +0900] "POST /UserChat/UserRegisterCheckServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:23:28 +0900] "POST /UserChat/userRegister HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:23:28 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 7206
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:23:59 +0900] "POST /UserChat/userRegister HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:23:59 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 7206
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:24:58 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6320
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:25:01 +0900] "POST /UserChat/UserRegisterCheckServlet HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:25:07 +0900] "POST /UserChat/userRegister HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:17:25:07 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 1620
