127.0.0.1 - - [31/May/2019:10:36:10 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:11 +0900] "GET /UserChat/ HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:11 +0900] "GET /UserChat/css/custom.css?versionewg=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:11 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:11 +0900] "GET /UserChat/css/custom2.css?versiontff=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:12 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:37 +0900] "GET /UserChat/login.jsp HTTP/1.1" 200 3689
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:37 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:37 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:37 +0900] "GET /UserChat/css/custom2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:37 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:44 +0900] "POST /UserChat/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:44 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3489
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:44 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:44 +0900] "GET /UserChat/css/custom.css?versionewg=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:44 +0900] "GET /UserChat/css/custom2.css?versiontff=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:44 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:44 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:48 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:52 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [31/May/2019:10:36:56 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [31/May/2019:10:37:00 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [31/May/2019:10:37:04 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
