127.0.0.1 - - [06/Jul/2019:16:52:37 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:01 +0900] "GET /UserChat/ HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:01 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:01 +0900] "GET /UserChat/css/custom.css?versionewg=2 HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:01 +0900] "GET /UserChat/css/custom2.css?versiontff=2 HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:01 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:07 +0900] "GET /UserChat/login.jsp HTTP/1.1" 200 3689
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:07 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:07 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:07 +0900] "GET /UserChat/css/custom2.css HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:07 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:14 +0900] "POST /UserChat/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:14 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3647
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:14 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:14 +0900] "GET /UserChat/css/custom.css?versionewg=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:14 +0900] "GET /UserChat/css/custom2.css?versiontff=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:14 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:14 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:17 +0900] "GET /UserChat/find.jsp HTTP/1.1" 200 4608
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:17 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:17 +0900] "GET /UserChat/css/custom.css?ver=1 HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:17 +0900] "GET /UserChat/css/custom2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:17 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:17 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:21 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:25 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:29 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:33 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:37 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:41 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:45 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:49 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:53 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:53:57 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:01 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:04 +0900] "POST /UserChat/userRegisterCheck HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:05 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:06 +0900] "GET /UserChat/chat.jsp?toID=JOOE HTTP/1.1" 200 7616
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:06 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:06 +0900] "GET /UserChat/css/custom.css?ver=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:06 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:06 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:06 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:06 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:07 +0900] "GET /UserChat/images/icon.png HTTP/1.1" 200 19288
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:09 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:10 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:12 +0900] "GET /UserChat/find.jsp HTTP/1.1" 200 4608
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:12 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:12 +0900] "GET /UserChat/css/custom.css?ver=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:12 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:12 +0900] "GET /UserChat/css/custom2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:12 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:13 +0900] "GET /UserChat/box.jsp HTTP/1.1" 200 4504
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:13 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:13 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:13 +0900] "GET /UserChat/css/custom2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:13 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:13 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:13 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:15 +0900] "GET /UserChat/chat.jsp?toID=11111 HTTP/1.1" 200 7618
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:15 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:15 +0900] "GET /UserChat/css/custom.css?ver=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:15 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:15 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:15 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:15 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:15 +0900] "GET /UserChat/images/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:18 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:19 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:21 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:21 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:21 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:23 +0900] "GET /UserChat/chat.jsp?toID=JOOE HTTP/1.1" 200 7616
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:23 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:23 +0900] "GET /UserChat/css/custom.css?ver=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:23 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:23 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:23 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:23 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:23 +0900] "GET /UserChat/images/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:26 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:27 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:27 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:27 +0900] "GET /UserChat/css/custom.css?versionewg=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:27 +0900] "GET /UserChat/css/custom2.css?versiontff=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:27 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:27 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:31 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:31 +0900] "GET /UserChat/update.jsp HTTP/1.1" 200 5783
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:32 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:32 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:32 +0900] "GET /UserChat/css/custom2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:32 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
