127.0.0.1 - - [21/May/2019:13:13:29 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:23 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:23 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:23 +0900] "GET /UserChat/css/custom2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:24 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:28 +0900] "GET /UserChat/login.jsp HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:35 +0900] "POST /UserChat/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:35 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:36 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:40 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:42 +0900] "GET /UserChat/box.jsp HTTP/1.1" 200 4278
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:42 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:42 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:45 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:46 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:48 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:50 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:51 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:54 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:54 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:57 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2019:13:14:58 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:00 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:02 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:03 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:06 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:06 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:09 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:10 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:12 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:14 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:15 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:18 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:18 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:21 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:22 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:24 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2019:13:15:26 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
