127.0.0.1 - - [07/Jul/2019:13:32:33 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:32:54 +0900] "GET /UserChat/ HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:32:54 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:32:54 +0900] "GET /UserChat/css/custom.css?versionewg=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:32:54 +0900] "GET /UserChat/css/custom2.css?versiontff=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:32:54 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:33:03 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6964
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:33:03 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:33:03 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:33:03 +0900] "GET /UserChat/css/custom2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:33:03 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:33:45 +0900] "POST /UserChat/userRegister HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:33:45 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3723
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:33:45 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:33:45 +0900] "GET /UserChat/css/custom.css?versionewg=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:33:45 +0900] "GET /UserChat/css/custom2.css?versiontff=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:33:45 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:33:46 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:33:50 +0900] "GET /UserChat/profileUpdate.jsp HTTP/1.1" 200 4141
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:33:50 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2019:13:33:50 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
