127.0.0.1 - - [12/Jul/2019:16:57:12 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:58:59 +0900] "GET /UserChat/chat.jsp?toID=11111 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:58:59 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:58:59 +0900] "GET /UserChat/css/custom.css?versionewg=2 HTTP/1.1" 200 4014
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:59:04 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:59:07 +0900] "GET /UserChat/login.jsp HTTP/1.1" 200 3747
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:59:07 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 200 4014
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:59:14 +0900] "POST /UserChat/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:59:14 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3777
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:59:15 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:59:16 +0900] "GET /UserChat/box.jsp HTTP/1.1" 200 4840
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:59:17 +0900] "POST /UserChat/chatUnread HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:59:17 +0900] "POST /UserChat/chatBox HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:59:17 +0900] "GET /UserChat/upload/Yura.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:59:17 +0900] "GET /UserChat/images/icon.png HTTP/1.1" 200 19288
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:59:19 +0900] "GET /UserChat/chat.jsp?toID=Yura HTTP/1.1" 200 8521
0:0:0:0:0:0:0:1 - - [12/Jul/2019:16:59:19 +0900] "GET /UserChat/css/custom.css?ver=1 HTTP/1.1" 200 4014
